alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,d) 15 a 19 años,7108
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,e) 20 a 24 años,7472
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,f) 25 a 29 años,7410
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,g) 30 a 34 años,7276
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,h) 35 a 39 años,6871
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,i) 40 a 44 años,6454
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,j) 45 a 49 años,6462
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,k) 50 a 54 años,5814
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,l) 55 a 59 años,4646
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,m) 60 a 64 años,3633
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,n) 65 a 69 años,2535
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,o) 70 a 74 años,1714
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,p) 75 a 79 años,1137
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,q) 80 a 84 años,688
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Hombre,r) 85 años y más,458
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,a) 0 a 4 años,5851
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,b) 5 a 9 años,6078
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,c) 10 a 14 años,6546
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,d) 15 a 19 años,7085
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Mujer,e) 20 a 24 años,8082
